board,point_total,total_num_words,7_or_longer,10_or_longer
"[['D', 'O', 'T', 'W'], ['A', 'A', 'O', 'M'], ['G', 'Y', 'E', 'F'], ['W', 'E', 'S', 'T']]",63700,184,"['FOOTAGE', 'TOOMEST', 'FOOTAGES', 'DOTAGES']",[]
"[['C', 'O', 'Q', 'S'], ['L', 'U', 'Y', 'H'], ['Y', 'C', 'N', 'N'], ['A', 'A', 'T', 'H']]",18300,52,[],[]
"[['V', 'N', 'I', 'A'], ['T', 'F', 'U', 'Y'], ['S', 'O', 'O', 'C'], ['E', 'N', 'E', 'T']]",67400,151,"['FIAUNTS', 'INTONES']",[]
"[['S', 'M', 'H', 'L'], ['U', 'T', 'E', 'W'], ['I', 'O', 'C', 'E'], ['R', 'T', 'R', 'N']]",102400,211,"['CORIUMS', 'WETSUIT', 'RECTUMS']",[]
"[['S', 'U', 'D', 'T'], ['P', 'I', 'E', 'N'], ['B', 'A', 'R', 'S'], ['T', 'A', 'F', 'N']]",225700,376,"['ABIDERS', 'TABARET', 'SENDUPS', 'UPSIDES', 'APSIDES', 'SPIDERS']",[]
"[['H', 'I', 'R', 'S'], ['A', 'H', 'N', 'E'], ['T', 'O', 'A', 'N'], ['T', 'G', 'R', 'E']]",172900,285,"['ATHANOR', 'HORNERS', 'THINNER', 'SENHORA', 'EARNERS', 'ATONERS', 'GROANERS', 'GARNERS', 'NOTAIRES', 'GROANER', 'TONNERS', 'ATTONES', 'THINNERS', 'NOTAIRE']",[]
"[['C', 'O', 'Y', 'A'], ['E', 'N', 'T', 'V'], ['O', 'E', 'H', 'H'], ['N', 'L', 'T', 'B']]",37200,96,[],[]
"[['L', 'P', 'E', 'D'], ['O', 'W', 'O', 'Y'], ['R', 'D', 'W', 'I'], ['G', 'H', 'S', 'H']]",45800,113,"['DEWDROP', 'SHROWED']",[]
"[['D', 'Y', 'S', 'L'], ['I', 'H', 'T', 'E'], ['T', 'E', 'G', 'R'], ['D', 'I', 'P', 'O']]",132800,221,"['PITIETH', 'LETHIED', 'SHTETEL', 'TIGHTROPE', 'SERPIGO', 'PIGHTED', 'DEPORTS', 'PRESTED', 'PIGHTLE', 'PETRELS', 'TERGITE', 'PIGHTLES', 'TIGHTER']",[]
"[['I', 'S', 'M', 'W'], ['E', 'G', 'N', 'P'], ['L', 'D', 'T', 'M'], ['T', 'E', 'O', 'O']]",46500,100,['TOODLES'],[]
